ID	populations
CIMBL28	maize
CIMBL3	maize
CIMBL30	maize
CIMBL31	maize
CIMBL32	maize
CIMBL33	maize
CIMBL34	maize
CIMBL35	maize
CIMBL36	maize
CIMBL37	maize
CIMBL38	maize
CIMBL39X	maize
CIMBL4	maize
CIMBL40	maize
CIMBL41	maize
CIMBL42	maize
CIMBL43	maize
CIMBL44	maize
CIMBL45X	maize
CIMBL46	maize
CIMBL47	maize
CIMBL48	maize
CIMBL49	maize
CIMBL5	maize
CIMBL50	maize
CIMBL51	maize
CIMBL52	maize
CIMBL53	maize
CIMBL54	maize
CIMBL56	maize
CIMBL57	maize
CIMBL58-M	maize
CIMBL59	maize
CIMBL6	maize
CIMBL60	maize
CIMBL61X	maize
CIMBL62	maize
CIMBL63	maize
CIMBL65	maize
CIMBL66	maize
CIMBL67	maize
CIMBL68	maize
CIMBL69	maize
CIMBL7	maize
CIMBL70	maize
CIMBL71	maize
CIMBL72	maize
CIMBL73X	maize
CIMBL74	maize
CIMBL75	maize
CIMBL76	maize
CIMBL77	maize
CIMBL78	maize
CIMBL79	maize
CIMBL8	maize
CIMBL80X	maize
CIMBL81	maize
CIMBL82	maize
CIMBL83	maize
CIMBL84	maize
CIMBL85X	maize
CIMBL86	maize
CIMBL87X	maize
CIMBL88	maize
CIMBL89	maize
CIMBL9	maize
CIMBL90	maize
CIMBL91	maize
CIMBL92	maize
CIMBL93	maize
CIMBL94	maize
CIMBL95	maize
CIMBL96	maize
CIMBL97	maize
CIMBL98	maize
CIMBL99	maize
CML113	maize
CML114	maize
CML115-M	maize
CML115X	maize
CML118	maize
CML121	maize
CML122	maize
CML130	maize
CML134	maize
CML139	maize
CML162	maize
CML163	maize
CML165	maize
CML168	maize
CML169-M	maize
CML170	maize
CML171	maize
CML172	maize
CML189	maize
CML191	maize
CML192	maize
CML20	maize
CML223	maize
CML225	maize
CML226	maize
CML228	maize
CML229	maize
CML27	maize
CML28	maize
CML282	maize
CML285	maize
CML286X	maize
CML287X	maize
CML289	maize
CML29	maize
CML290	maize
CML298	maize
CML300	maize
CML305	maize
CML307	maize
CML31	maize
CML32	maize
CML323	maize
CML324	maize
CML325	maize
CML326X	maize
CML327	maize
CML338	maize
CML360	maize
CML361	maize
CML364	maize
CML40	maize
CML408-M	maize
CML411	maize
CML415	maize
CML422	maize
CML423	maize
CML426	maize
CML428	maize
CML431	maize
CML432	maize
CML451	maize
CML454	maize
CML465	maize
CML468	maize
CML470	maize
CML471	maize
CML479	maize
CML480	maize
